frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,http.host,dns.qry.name
Dec 15, 2016 08:20:49.825121000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.825245000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.825521000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.851295000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.851312000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.851450000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.853988000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.854146000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.854156000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.854165000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.854168000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.854175000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.854473000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.854488000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.854491000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.854630000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.940127000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.940151000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.940305000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:49.940351000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.940358000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:49.940906000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.043415000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.043432000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.043436000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.043438000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.043444000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.043856000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.043870000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.043959000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.044196000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.044207000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.044301000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.050444000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.050599000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.050727000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.060530000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.060711000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.060774000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.073454000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.073475000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.073480000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.073662000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.073669000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.073671000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.073809000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.073814000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.073817000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.073945000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.073954000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.074150000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.074316000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.155137000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.155160000 +07,185.153.198.117,10.12.15.101,80,49208,,,
Dec 15, 2016 08:20:50.155314000 +07,10.12.15.101,185.153.198.117,49208,80,,,
Dec 15, 2016 08:20:50.162089000 +07,185.153.198.117,10.12.15.101,80,49208,,,
